Table 6: Fatalities in Crashes Involving Motorcoaches by State: 1996 - 2008,,,,,,,,,,,,,
State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Alabama ,0,1,3,1,0,0,1,1,1,0,0,1,1
Alaska ,0,1,0,0,0,0,0,0,0,0,0,0,0
Arizona ,3,0,1,0,2,0,2,0,6,3,0,2,0
Arkansas ,0,6,2,0,0,0,0,0,15,2,0,5,0
California ,1,2,6,4,6,2,0,3,6,6,2,3,12
Colorado ,0,2,7,3,1,0,2,1,1,0,0,0,1
Connecticut ,1,0,2,0,0,0,0,0,0,0,1,0,1
Delaware ,0,0,0,0,1,0,0,1,0,0,1,0,0
Dist of Columbia ,1,0,0,1,0,1,1,1,0,2,0,0,0
Florida ,0,1,3,3,3,5,2,3,6,2,2,2,0
Georgia ,3,1,1,1,3,0,1,3,1,0,3,12,1
Hawaii ,4,0,0,0,2,0,0,0,0,0,0,2,0
Idaho ,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois ,0,2,1,3,0,1,0,0,1,1,2,2,0
Indiana ,0,0,0,1,2,0,0,0,0,0,0,0,0
Iowa ,0,0,0,0,0,2,0,9,0,0,0,0,0
Kansas ,0,0,0,1,1,0,0,0,1,2,0,0,0
Kentucky ,2,0,0,0,0,0,0,0,0,1,0,3,0
Louisiana ,1,1,0,22,1,2,0,0,0,1,0,0,0
Maine ,0,0,0,0,0,0,0,0,0,0,1,1,0
Maryland ,1,0,1,0,1,1,5,1,3,0,0,0,0
Massachusetts ,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan ,1,0,0,0,0,1,2,0,1,4,0,0,0
Minnesota ,0,0,0,0,1,0,0,0,0,0,0,0,0
Mississippi ,0,0,0,0,0,0,0,0,0,0,0,0,2
Missouri ,0,0,0,1,4,0,2,1,0,0,0,1,1
Montana ,0,0,1,1,0,0,0,0,0,0,0,1,0
Nebraska ,1,0,0,0,0,1,0,2,1,0,0,0,0
Nevada ,3,0,0,3,0,4,1,0,0,1,1,3,0
New Hampshire ,0,0,0,0,0,0,0,0,0,0,0,1,0
New Jersey ,2,1,2,2,0,4,0,0,2,3,3,3,0
New Mexico ,0,3,2,5,0,0,0,1,0,0,0,1,0
New York ,8,3,2,0,6,8,7,5,2,7,6,1,0
North Carolina ,3,2,1,0,1,0,0,0,0,0,0,0,2
North Dakota ,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio ,2,3,0,0,4,0,0,0,0,0,1,0,0
Oklahoma ,0,0,0,0,0,3,0,2,0,0,2,0,1
Oregon ,1,0,0,3,0,0,1,0,0,1,0,0,0
Pennsylvania ,2,1,10,4,1,2,2,2,0,1,2,3,1
Rhode Island ,0,0,0,0,0,0,1,0,0,0,0,0,0
South Carolina ,0,1,1,0,0,4,4,0,0,2,4,0,2
South Dakota ,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee ,2,0,0,0,2,1,0,0,3,0,3,0,0
Texas ,1,11,1,3,6,1,14,0,3,26,1,0,18
Utah ,0,0,0,0,0,0,6,0,0,0,0,0,9
Vermont ,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia ,0,2,1,0,0,0,0,0,2,0,0,1,0
Washington ,0,0,0,4,0,3,0,0,0,0,3,3,0
West Virginia ,0,1,1,0,0,0,0,0,2,0,1,0,0
Wisconsin ,0,1,1,0,0,0,0,0,0,5,0,0,0
Wyoming ,0,0,0,0,0,0,0,0,0,0,0,0,0
US Total,43,46,50,66,48,46,54,36,57,70,39,51,52
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notes: A motorcoach is a cross-country or interity bus as defined in FARS.,,,,,,,,,,,,,
Source: Fatality Analysis Reporting System (FARS),,,,,,,,,,,,,
"Analysis Division, FMCSA",,,,,,,,,"Dec. 23, 2009",,,,
